,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
0,AS Joseph (WI),2019-2022,26,26,228.1,11,1099,44,4/32,24.97,4.81,31.1,3,0,
1,Bilal Khan (OMA),2019-2022,22,22,180.3,14,841,39,4/47,21.56,4.65,27.7,2,0,
2,Zeeshan Maqsood (OMA),2019-2022,23,23,189.5,15,755,36,4/15,20.97,3.97,31.6,2,0,
3,AR McBrine (IRE),2020-2022,23,21,180.0,14,787,32,5/29,24.59,4.37,33.7,2,1,
4,A Zampa (AUS),2020-2021,16,16,150.2,3,752,32,4/54,23.5,5.0,28.1,2,0,
5,SN Netravalkar (USA),2019-2021,18,17,140.2,19,490,30,5/32,16.33,3.49,28.0,1,1,
6,CA Young (IRE),2020-2022,20,18,152.0,8,837,29,4/18,28.86,5.5,31.4,1,0,
7,Khawar Ali (OMA),2019-2022,20,20,141.1,4,699,26,5/15,26.88,4.95,32.5,1,1,
8,S Lamichhane (NEPAL),2020-2021,10,9,77.5,9,286,26,6/11,11.0,3.67,17.9,2,2,
9,JB Little (IRE),2020-2022,15,13,120.5,9,605,25,4/39,24.2,5.0,29.0,1,0,
10,T Shamsi (SA),2020-2022,16,14,131.4,2,673,25,5/49,26.92,5.11,31.6,0,1,
11,Simi Singh (IRE),2020-2021,18,16,140.0,16,530,25,5/10,21.2,3.78,33.6,0,1,
12,Mustafizur Rahman (BAN),2019-2021,14,14,107.0,4,567,24,3/16,23.62,5.29,26.7,0,0,
13,SS Cottrell (WI),2019-2021,15,14,123.0,7,706,23,4/67,30.69,5.73,32.0,1,0,
14,MA Starc (AUS),2020-2021,14,14,130.4,3,768,23,5/48,33.39,5.87,34.0,0,1,
15,PVD Chameera (SL),2021-2022,16,15,120.2,5,653,22,5/16,29.68,5.42,32.8,0,1,
16,AJ Hosein (WI),2021-2022,14,14,124.2,3,553,22,3/26,25.13,4.44,33.9,0,0,
17,JR Hazlewood (AUS),2020-2021,12,12,112.3,10,522,21,3/11,24.85,4.64,32.1,0,0,
18,Mohammed Shami (INDIA),2019-2020,12,12,100.2,4,649,21,4/63,30.9,6.46,28.6,1,0,
19,B Muzarabani (ZIM),2020-2022,12,12,109.2,9,531,21,5/49,25.28,4.85,31.2,1,1,
20,AL Phehlukwayo (SA),2020-2022,19,17,119.0,1,728,21,3/40,34.66,6.11,34.0,0,0,
21,N Pokana (PNG),2019-2021,13,13,104.5,7,417,21,3/25,19.85,3.97,29.9,0,0,
22,YS Chahal (INDIA),2019-2022,12,12,114.5,2,640,20,4/49,32.0,5.57,34.4,1,0,
23,PWH de Silva (SL),2019-2021,20,19,175.0,10,803,20,3/30,40.15,4.58,52.5,0,0,
24,Mehidy Hasan Miraz (BAN),2019-2021,17,17,135.0,7,568,20,4/25,28.4,4.2,40.5,2,0,
25,Mujeeb Ur Rahman (AFG),2019-2022,9,9,86.4,4,363,19,4/32,19.1,4.18,27.3,1,0,
26,CA Soper (PNG),2019-2021,14,14,110.1,12,455,19,3/45,23.94,4.13,34.7,0,0,
27,SN Thakur (INDIA),2019-2022,14,14,115.4,4,786,19,4/67,41.36,6.79,36.5,1,0,
28,HR Walsh (WI),2019-2021,12,12,88.4,0,434,19,5/39,22.84,4.89,28.0,1,1,
29,Hamza Tahir (SCOT),2019-2021,11,10,90.2,2,384,18,5/38,21.33,4.25,30.1,1,1,
30,L Ngidi (SA),2020-2022,10,10,89.0,3,514,18,6/58,28.55,5.77,29.6,0,1,
31,Ahmed Raza (UAE),2019-2022,11,11,102.0,5,370,17,5/26,21.76,3.62,36.0,0,1,
32,Aqib Ilyas (OMA),2019-2021,16,16,84.0,4,342,17,4/36,20.11,4.07,29.6,1,0,
33,Mohammad Saifuddin (BAN),2020-2021,9,8,61.5,0,370,17,4/41,21.76,5.98,21.8,1,0,
34,Shakib Al Hasan (BAN),2021-2021,9,9,81.0,5,298,17,5/30,17.52,3.67,28.5,1,1,
35,JJ Smit (NAM),2019-2021,9,9,62.0,5,284,17,5/26,16.7,4.58,21.8,0,2,
36,DJ Willey (ENG),2020-2021,6,6,55.4,6,292,17,5/30,17.17,5.24,19.6,1,1,
37,N Pradeep (SL),2019-2022,11,11,95.3,5,557,16,3/51,34.81,5.83,35.8,0,0,
38,Kaleemullah (OMA),2019-2022,20,20,134.0,14,567,16,3/43,35.43,4.23,50.2,0,0,
39,Karan KC (NEPAL),2020-2021,9,9,55.1,5,286,16,4/15,17.87,5.18,20.6,3,0,
40,KA Maharaj (SA),2020-2022,14,14,127.0,3,569,16,3/38,35.56,4.48,47.6,0,0,
41,Mohammad Nadeem (OMA),2019-2021,17,15,81.0,3,436,16,3/43,27.25,5.38,30.3,0,0,
42,AU Rashid (ENG),2020-2021,13,13,120.2,4,704,16,3/34,44.0,5.85,45.1,0,0,
43,NP Kenjige (USA),2019-2021,11,11,73.4,1,323,15,3/22,21.53,4.38,29.4,0,0,
44,S Bhari (NEPAL),2020-2021,9,9,63.2,5,232,15,4/5,15.46,3.66,25.3,1,0,
45,RL Chase (WI),2019-2022,17,16,125.0,1,575,15,3/30,38.33,4.6,50.0,0,0,
46,PJ Cummins (AUS),2020-2020,11,11,103.0,8,592,15,3/25,39.46,5.74,41.2,0,0,
47,R Ngarava (ZIM),2020-2022,11,11,92.0,5,489,15,3/52,32.6,5.31,36.8,0,0,
48,NK Patel (USA),2019-2021,14,12,73.4,5,309,15,4/30,20.6,4.19,29.4,1,0,
49,M Prasidh Krishna (INDIA),2021-2022,6,6,54.0,4,274,15,4/12,18.26,5.07,21.6,2,0,
0,Rashid Khan (AFG),2019-2022,9,9,86.0,1,367,15,4/29,24.46,4.26,34.4,1,0,
1,MRJ Watt (SCOT),2019-2021,13,12,111.5,14,382,15,4/42,25.46,3.41,44.7,1,0,
2,Haris Rauf (PAK),2020-2021,8,8,68.0,2,406,14,4/65,29.0,5.97,29.1,1,0,
3,Kuldeep Yadav (INDIA),2019-2021,14,14,130.0,1,804,14,3/52,57.42,6.18,55.7,0,0,
4,S Mahmood (ENG),2020-2021,7,7,60.5,5,279,14,4/42,19.92,4.58,26.0,1,0,
5,A Nortje (SA),2020-2021,8,8,71.2,1,417,14,4/51,29.78,5.84,30.5,1,0,
6,Ayaan Khan (OMA),2021-2022,13,11,68.2,7,270,13,4/36,20.76,3.95,31.5,1,0,
7,AC Evans (SCOT),2019-2021,8,7,60.4,3,321,13,5/43,24.69,5.29,28.0,0,1,
8,K Gore (USA),2019-2021,15,15,86.0,9,362,13,4/20,27.84,4.2,39.6,1,0,
9,JO Holder (WI),2019-2022,22,21,166.0,8,919,13,2/21,70.69,5.53,76.6,0,0,
10,Junaid Siddique (UAE),2019-2022,7,7,61.3,3,324,13,3/37,24.92,5.26,28.3,0,0,
11,B Kumar (INDIA),2019-2022,10,10,83.0,2,473,13,4/31,36.38,5.69,38.3,1,0,
12,Shaheen Shah Afridi (PAK),2020-2021,9,9,82.3,4,458,13,5/49,35.23,5.55,38.0,0,1,
13,A Vala (PNG),2019-2021,16,14,91.4,5,371,13,3/37,28.53,4.04,42.3,0,0,
14,CR Woakes (ENG),2020-2021,7,7,63.0,9,240,13,4/18,18.46,3.8,29.0,1,0,
15,RA Jadeja (INDIA),2019-2020,15,15,128.0,1,705,12,2/44,58.75,5.5,64.0,0,0,
16,Naveen-ul-Haq (AFG),2019-2021,5,5,43.1,1,245,12,4/42,20.41,5.67,21.5,1,0,
17,KMA Paul (WI),2019-2020,8,8,61.0,2,383,12,3/44,31.91,6.27,30.5,0,0,
18,Rohan Mustafa (UAE),2019-2022,11,11,90.5,3,401,12,3/35,33.41,4.41,45.4,0,0,
19,BM Scholtz (NAM),2019-2021,9,9,71.2,9,262,12,4/27,21.83,3.67,35.6,1,0,
20,SM Sharif (SCOT),2019-2021,10,9,73.4,5,393,12,3/23,32.75,5.33,36.8,0,0,
21,CAH Stevenson (USA),2019-2020,7,6,48.0,4,236,12,3/22,19.66,4.91,24.0,0,0,
22,SR Taylor (USA),2019-2021,17,15,80.1,6,334,12,4/23,27.83,4.16,40.0,1,0,
23,Zahoor Khan (UAE),2019-2022,7,7,62.5,4,315,12,3/35,26.25,5.01,31.4,0,0,
24,Z Groenewald (NAM),2019-2019,4,4,33.0,3,130,11,5/20,11.81,3.93,18.0,0,1,
25,C Karunaratne (SL),2021-2022,13,11,59.0,2,313,11,3/69,28.45,5.3,32.1,0,0,
26,KV Morea (PNG),2021-2021,4,4,39.0,2,144,11,5/28,13.09,3.69,21.2,0,1,
27,J Theron (USA),2019-2020,9,8,66.2,5,348,11,3/46,31.63,5.24,36.1,0,0,
28,CJA Amini (PNG),2019-2021,14,14,114.2,5,533,10,3/39,53.3,4.66,68.6,0,0,
29,JJ Bumrah (INDIA),2020-2022,12,12,115.4,4,619,10,2/43,61.9,5.35,69.4,0,0,
30,C Campher (IRE),2020-2022,13,10,64.3,3,362,10,2/31,36.2,5.61,38.7,0,0,
31,SM Curran (ENG),2020-2021,9,9,61.4,3,340,10,5/48,34.0,5.51,37.0,0,1,
32,VJ Kingma (NED),2021-2022,7,7,59.0,2,251,10,3/21,25.1,4.25,35.4,0,0,
33,FJ Klaassen (NED),2021-2022,6,6,56.0,7,201,10,3/23,20.1,3.58,33.6,0,0,
34,BJ McCarthy (IRE),2020-2021,11,11,83.3,4,459,10,2/28,45.9,5.49,50.1,0,0,
35,PADLR Sandakan (SL),2019-2021,11,11,97.5,3,570,10,3/54,57.0,5.82,58.7,0,0,
36,Taskin Ahmed (BAN),2021-2021,10,10,83.2,3,417,10,4/46,41.7,5.0,50.0,1,0,
37,MA Leask (SCOT),2019-2021,7,6,45.0,5,173,9,3/19,19.22,3.84,30.0,0,0,
38,JDS Neesham (NZ),2020-2021,7,7,57.1,2,325,9,5/27,36.11,5.68,38.1,0,1,
39,K Rabada (SA),2021-2021,7,7,61.2,5,323,9,2/16,35.88,5.26,40.8,0,0,
40,I Udana (SL),2019-2021,8,8,64.0,1,437,9,3/82,48.55,6.82,42.6,0,0,
41,JDF Vandersay (SL),2022-2022,3,3,22.4,2,105,9,4/10,11.66,4.63,15.1,1,0,
42,N Vanua (PNG),2019-2021,14,13,90.3,6,516,9,2/49,57.33,5.7,60.3,0,0,
43,MR Adair (IRE),2020-2022,15,13,91.1,6,542,8,3/38,67.75,5.94,68.3,0,0,
44,Basil Hameed (UAE),2019-2022,10,6,23.2,1,94,8,5/17,11.75,4.02,17.5,0,1,
45,A Dananjaya (SL),2019-2021,5,5,47.0,0,238,8,3/44,29.75,5.06,35.2,0,0,
46,DM de Silva (SL),2019-2021,16,13,73.0,0,351,8,3/45,43.87,4.8,54.7,0,0,
47,JN Frylinck (NAM),2019-2021,9,9,63.3,8,313,8,2/29,39.12,4.92,47.6,0,0,
48,LM Jongwe (ZIM),2021-2021,6,6,44.0,0,280,8,3/51,35.0,6.36,33.0,0,0,
49,JN Mohammed (WI),2021-2021,8,8,49.0,1,209,8,3/47,26.12,4.26,36.7,0,0,
0,R Shepherd (WI),2019-2022,10,10,66.1,3,331,8,3/50,41.37,5.0,49.6,0,0,
1,MA Wood (ENG),2020-2021,6,6,53.0,4,257,8,3/34,32.12,4.84,39.7,0,0,
2,JC Archer (ENG),2020-2020,3,3,29.0,2,151,7,3/34,21.57,5.2,24.8,0,0,
3,DL Chahar (INDIA),2019-2022,5,5,40.0,3,235,7,2/37,33.57,5.87,34.2,0,0,
4,TK Curran (ENG),2020-2021,11,11,91.0,4,485,7,4/35,69.28,5.32,78.0,1,0,
5,N Dhamba (OMA),2021-2022,6,5,31.0,3,115,7,3/20,16.42,3.7,26.5,0,0,
6,BD Glover (NED),2021-2022,5,5,45.0,2,261,7,3/43,37.28,5.8,38.5,0,0,
7,Hasan Ali (PAK),2021-2021,4,4,32.2,0,229,7,5/51,32.71,7.08,27.7,0,1,
8,IG Holland (USA),2019-2020,8,7,45.5,2,209,7,3/11,29.85,4.56,39.2,0,0,
9,Kashif Daud (UAE),2021-2022,5,5,45.3,3,233,7,3/41,33.28,5.12,39.0,0,0,
10,Kushal Malla (NEPAL),2020-2021,8,6,48.0,3,173,7,2/19,24.71,3.6,41.1,0,0,
11,W Madhevere (ZIM),2020-2022,14,12,69.2,0,370,7,2/45,52.85,5.33,59.4,0,0,
12,GT Main (SCOT),2019-2021,5,5,36.0,4,167,7,3/33,23.85,4.63,30.8,0,0,
13,KP Meiyappan (UAE),2019-2021,6,6,48.0,1,225,7,4/37,32.14,4.68,41.1,1,0,
14,Mohammad Hasnain (PAK),2020-2021,3,3,30.0,5,152,7,5/26,21.71,5.06,25.7,0,1,
15,CT Mumba (ZIM),2020-2020,5,5,35.0,0,259,7,3/69,37.0,7.4,30.0,0,0,
16,Shafiul Islam (BAN),2019-2020,4,4,33.0,2,235,7,3/62,33.57,7.12,28.2,0,0,
17,Shoriful Islam (BAN),2021-2021,4,4,30.0,0,160,7,4/46,22.85,5.33,25.7,1,0,
18,Taijul Islam (BAN),2019-2020,5,5,48.0,5,186,7,3/52,26.57,3.87,41.1,0,0,
19,DT Tiripano (ZIM),2020-2021,5,5,37.0,0,276,7,2/39,39.42,7.45,31.7,0,0,
20,R Trumpelmann (NAM),2021-2021,2,2,18.5,1,126,7,5/76,18.0,6.69,16.1,0,1,
21,LV van Beek (NED),2021-2021,5,5,42.2,2,164,7,3/29,23.42,3.87,36.2,0,0,
22,Wahab Riaz (PAK),2019-2020,4,4,38.4,0,214,7,4/41,30.57,5.53,33.1,1,0,
23,AC Agar (AUS),2020-2021,6,6,57.0,2,280,6,2/31,46.66,4.91,57.0,0,0,
24,HK Bennett (NZ),2020-2020,3,3,29.0,1,199,6,4/64,33.16,6.86,29.0,1,0,
25,BA Carse (ENG),2021-2021,3,3,25.0,0,136,6,5/61,22.66,5.44,25.0,0,1,
26,DDP D'Silva (UAE),2019-2020,6,5,31.0,3,118,6,3/22,19.66,3.8,31.0,0,0,
27,MJ Henry (NZ),2021-2021,3,3,29.0,6,101,6,4/27,16.83,3.48,29.0,1,0,
28,J Kila (PNG),2019-2021,10,5,32.1,2,164,6,3/27,27.33,5.09,32.1,0,0,
29,AK Markram (SA),2021-2022,11,7,47.0,0,223,6,2/48,37.16,4.74,47.0,0,0,
30,MR Marsh (AUS),2020-2021,10,9,47.3,2,265,6,3/29,44.16,5.57,47.5,0,0,
31,NA Saini (INDIA),2019-2021,8,8,70.0,0,481,6,2/58,80.16,6.87,70.0,0,0,
32,MJ Santner (NZ),2020-2021,6,6,51.0,0,232,6,2/23,38.66,4.54,51.0,0,0,
33,Shadab Khan (PAK),2019-2021,7,7,58.5,1,364,6,2/61,60.66,6.18,58.8,0,0,
34,Soumya Sarkar (BAN),2019-2021,9,7,28.4,0,160,6,3/56,26.66,5.58,28.6,0,0,
35,M Theekshana (SL),2021-2022,4,4,36.0,1,136,6,4/37,22.66,3.77,36.0,1,0,
36,Usman Shinwari (PAK),2019-2019,2,2,18.0,2,92,6,5/51,15.33,5.11,18.0,0,1,
37,HN Ya France (NAM),2019-2021,8,8,46.0,2,192,6,2/31,32.0,4.17,46.0,0,0,
38,Bikram Sob (NEPAL),2021-2021,4,4,17.1,1,95,5,2/20,19.0,5.53,20.6,0,0,
39,TA Boult (NZ),2020-2021,4,4,38.5,1,150,5,4/27,30.0,3.86,46.6,1,0,
40,TL Chatara (ZIM),2021-2022,6,6,51.0,3,300,5,3/52,60.0,5.88,61.2,0,0,
41,Hasan Mahmud (BAN),2021-2021,3,3,19.2,1,131,5,3/28,26.2,6.77,23.2,0,0,
42,Iftikhar Ahmed (PAK),2019-2020,5,4,33.0,4,152,5,5/40,30.4,4.6,39.6,0,1,
43,KA Jamieson (NZ),2020-2021,5,5,46.0,4,186,5,2/42,37.2,4.04,55.2,0,0,
44,Jasdeep Singh (USA),2019-2021,5,5,23.0,3,130,5,4/51,26.0,5.65,27.6,1,0,
45,P Jayawickrama (SL),2021-2021,5,5,33.0,0,177,5,3/59,35.4,5.36,39.6,0,0,
46,Jay Odedra (OMA),2019-2020,3,3,23.0,2,101,5,4/34,20.2,4.39,27.6,1,0,
47,CBRLS Kumara (SL),2019-2019,5,5,39.0,0,227,5,2/26,45.4,5.82,46.8,0,0,
48,AD Mathews (SL),2019-2021,7,3,18.0,0,96,5,4/59,19.2,5.33,21.6,1,0,
49,MW Parkinson (ENG),2020-2021,5,5,34.4,0,203,5,2/28,40.6,5.85,41.6,0,0,
0,KA Pollard (WI),2019-2022,22,12,38.3,0,205,5,1/4,41.0,5.32,46.2,0,0,
1,D Ravu (PNG),2019-2021,10,9,59.0,2,324,5,2/35,64.8,5.49,70.8,0,0,
2,KW Richardson (AUS),2020-2020,3,3,28.1,0,179,5,2/43,35.8,6.35,33.8,0,0,
3,Rubel Hossain (BAN),2019-2021,5,5,41.0,2,236,5,3/70,47.2,5.75,49.2,0,0,
4,MD Shanaka (SL),2019-2022,18,9,40.0,0,219,5,3/27,43.8,5.47,48.0,0,0,
5,OF Smith (WI),2022-2022,4,4,17.1,0,86,5,2/26,17.2,5.0,20.6,0,0,
6,SC Williams (ZIM),2020-2022,11,9,58.0,2,317,5,2/42,63.4,5.46,69.6,0,0,
7,KK Ahmed (INDIA),2019-2019,3,3,17.0,0,127,4,3/68,31.75,7.47,25.5,0,0,
8,FA Allen (WI),2019-2022,9,7,49.0,0,265,4,2/40,66.25,5.4,73.5,0,0,
9,PRP Boissevain (NED),2021-2022,4,4,33.0,0,183,4,2/39,45.75,5.54,49.5,0,0,
10,TS Chisoro (ZIM),2020-2020,3,3,22.0,0,128,4,2/31,32.0,5.81,33.0,0,0,
11,GH Dockrell (IRE),2021-2022,12,7,25.0,0,160,4,1/11,40.0,6.4,37.5,0,0,
12,L Gregory (ENG),2021-2021,3,3,19.0,1,97,4,3/44,24.25,5.1,28.5,0,0,
13,BE Hendricks (SA),2020-2021,4,3,25.0,0,143,4,3/59,35.75,5.72,37.5,0,0,
14,EH Hutchinson (USA),2019-2021,11,10,52.0,3,226,4,1/12,56.5,4.34,78.0,0,0,
15,WP Masakadza (ZIM),2021-2022,6,6,41.0,0,179,4,2/40,44.75,4.36,61.5,0,0,
16,Mashrafe Mortaza (BAN),2020-2020,3,3,22.1,0,134,4,2/35,33.5,6.04,33.2,0,0,
17,RTM Mendis (SL),2021-2022,4,3,12.0,0,74,4,2/26,18.5,6.16,18.0,0,0,
18,Mohammad Amir (PAK),2019-2019,2,2,17.0,1,71,4,3/50,17.75,4.17,25.5,0,0,
19,Mohammad Nabi (AFG),2019-2021,6,6,60.0,3,269,4,1/37,67.25,4.48,90.0,0,0,
20,Mohammad Nawaz (3) (PAK),2019-2021,2,2,11.0,0,58,4,3/34,14.5,5.27,16.5,0,0,
21,C Overton (ENG),2021-2021,3,3,25.2,2,126,4,2/23,31.5,4.97,38.0,0,0,
22,AA Paradkar (USA),2021-2021,2,2,12.0,2,53,4,4/26,13.25,4.41,18.0,1,0,
23,TK Patel (USA),2019-2020,6,5,32.0,5,116,4,2/25,29.0,3.62,48.0,0,0,
24,NLTC Perera (SL),2019-2021,6,6,37.3,1,220,4,2/45,55.0,5.86,56.2,0,0,
25,JE Root (ENG),2020-2021,9,4,23.0,0,127,4,2/46,31.75,5.52,34.5,0,0,
26,PM Seelaar (NED),2021-2022,9,9,61.0,5,253,4,3/27,63.25,4.14,91.5,0,0,
27,Sikandar Raza (ZIM),2020-2022,14,12,84.0,1,458,4,1/23,114.5,5.45,126.0,0,0,
28,JT Smuts (SA),2020-2021,6,4,30.0,1,164,4,2/42,41.0,5.46,45.0,0,0,
29,IS Sodhi (NZ),2020-2020,2,2,12.0,0,78,4,3/51,19.5,6.5,18.0,0,0,
30,TG Southee (NZ),2020-2020,3,3,29.0,2,185,4,2/41,46.25,6.37,43.5,0,0,
31,BA Stokes (ENG),2021-2021,6,5,25.0,1,158,4,3/34,39.5,6.32,37.5,0,0,
32,RJW Topley (ENG),2020-2021,3,3,26.2,1,147,4,2/50,36.75,5.58,39.5,0,0,
33,T van der Gugten (NED),2021-2021,4,4,33.0,4,110,4,2/22,27.5,3.33,49.5,0,0,
34,Washington Sundar (INDIA),2022-2022,2,2,14.0,1,58,4,3/30,14.5,4.14,21.0,0,0,
35,MM Ali (ENG),2020-2021,11,9,67.0,0,335,3,1/5,111.66,5.0,134.0,0,0,
36,CR Brathwaite (WI),2019-2019,3,2,13.3,0,91,3,3/53,30.33,6.74,27.0,0,0,
37,RD Chahar (INDIA),2021-2021,1,1,10.0,0,54,3,3/54,18.0,5.4,20.0,0,0,
38,C de Grandhomme (NZ),2020-2020,4,4,27.0,1,134,3,2/54,44.66,4.96,54.0,0,0,
39,GJ Delany (IRE),2020-2022,12,7,22.0,0,148,3,1/10,49.33,6.72,44.0,0,0,
40,Faheem Ashraf (PAK),2020-2021,8,8,57.0,2,316,3,1/25,105.33,5.54,114.0,0,0,
41,Fareed Ahmad (AFG),2022-2022,2,2,16.0,1,52,3,2/29,17.33,3.25,32.0,0,0,
42,Imad Wasim (PAK),2019-2020,3,3,22.0,1,130,3,1/38,43.33,5.9,44.0,0,0,
43,GF Linde (SA),2021-2021,2,2,15.0,1,72,3,2/32,24.0,4.8,30.0,0,0,
44,SL Malinga (SL),2019-2019,1,1,9.4,2,38,3,3/38,12.66,3.93,19.3,0,0,
45,T Natarajan (INDIA),2020-2021,2,2,20.0,1,143,3,2/70,47.66,7.15,40.0,0,0,
46,HH Pandya (INDIA),2020-2021,9,5,27.0,0,169,3,1/24,56.33,6.25,54.0,0,0,
47,K Phillip (USA),2021-2021,2,2,15.0,1,86,3,3/43,28.66,5.73,30.0,0,0,
48,Qais Ahmad (AFG),2022-2022,1,1,7.4,0,32,3,3/32,10.66,4.17,15.3,0,0,
49,CAK Rajitha (SL),2019-2021,2,2,12.1,0,70,3,2/17,23.33,5.75,24.3,0,0,
0,RA Reifer (WI),2021-2021,3,2,15.0,0,79,3,2/61,26.33,5.26,30.0,0,0,
1,CB Sole (SCOT),2021-2021,1,1,9.0,1,79,3,3/79,26.33,8.77,18.0,0,0,
2,O Thomas (WI),2019-2020,2,2,13.1,0,73,3,3/41,24.33,5.54,26.3,0,0,
3,G Toka (PNG),2019-2021,13,4,15.3,2,100,3,3/18,33.33,6.45,31.0,0,0,
4,PA van Meekeren (NED),2021-2021,2,2,14.0,2,57,3,2/28,19.0,4.07,28.0,0,0,
